"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Work in progress - ASAP: an automatic student adapted learning path generator","F. Colace; M. De Santo; M. Iacone","DIIIE-Università degli Studi di Salerno, Fisciano, Italy; DIIIE-Università degli Studi di Salerno, Fisciano, Italy; DIIIE-Università degli Studi di Salerno, Fisciano, Italy","Proceedings Frontiers in Education 35th Annual Conference","3 Apr 2006","2005","","","F3G","13","Thanks to the technological improvements of recent years, distance education today represents a real and effective tool for integrate (and sometimes substitute) the traditional formative processes. In literature, it is widely recognized that an important component of this success is related with the ability ""to customize"" the learning process for the specific needs of a given learner. This ability is still far to have been reached and there is a lot of interest in investigating new approaches and tools to adapt the formative process on the specific individual needs. In this paper, we present and discuss a model to capture information about learning style and capabilities of students; this information is successively used to select the most suitable learning objects and to arrange them in ""adapted"" learning paths. We discuss experimental results in using our approach","2377-634X","0-7803-9077-6","10.1109/FIE.2005.1612110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1612110","Adapted Learning path;E-Learning;Student Model;Metadata","Electronic learning;Testing;Educational technology;Distance learning;Student activities;Education;Adaptation model","computer aided instruction;distance learning","ASAP;automatic student adapted learning path generator;distance education;learning process","","1","","4","IEEE","3 Apr 2006","","","IEEE","IEEE Conferences"
"Nursing Training: 3D Game with Learning Objectives","F. Mili; J. Barr; M. Harris; L. Pittiglio","School of Engineering and Computer Engineering, Oakland University, Rochester, MI, USA; University of Michigan, Ann Arbor, MI, USA; School of Nursing, Oakland University, Rochester, MI, USA; School of Nursing, Oakland University, Rochester, MI, USA","First International Conference on Advances in Computer-Human Interaction","25 Feb 2008","2008","","","236","242","Practical training is an essential component of nursing students' preparation to entering the workforce and making decisions that impact patients' health and often lives. We designed a 3D game (VI-MED) to support virtual training to be used as a precursor and as a supplement to real practical training. The VI-MED system has two main components: 1. A gaming component which simulates a hospital environment with patients generated for each session and a full spectrum of interventions that the player can use on the patients, and 2. An Assessment component which monitors the players progress, updates their profile, and customizes their experience with the games accordingly. We discuss here the design of VI-MED with a special focus on the modeling of the user's (student) profile and the modeling of the patients that get generated at each game session. Both of these are driven by the learning outcomes that the nursing faculty sets for their students.","","978-0-7695-3086-4","10.1109/ACHI.2008.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4455988","3D Game;Education;Student Modeling;Student Assessment","Medical services;Hospitals;Feedback;Educational institutions;Computer simulation;Educational technology;Computer science education;Patient monitoring;Testing;Concrete","biomedical education;computer aided instruction;computer games;medical computing","3D game;virtual nurse training;decision making;patient health;integrated learning environment;hospital environment","","12","","19","IEEE","25 Feb 2008","","","IEEE","IEEE Conferences"
"Approaches to online testing in Web-based educational systems","V. Mornar; N. Hoic-Bozic; D. P. Zokovic","Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Faculty of Philosophy, University of Rijeka, Rijeka, Croatia; Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia","The IEEE Region 8 EUROCON 2003. Computer as a Tool.","3 Dec 2003","2003","2","","343","346 vol.2","One of the most important characteristics of a Web-based educational system is its ability to assess the knowledge of the student and to adapt to his needs. Two main purposes of an online test are to evaluate students' progress and to help students to learn. Recently, the tests are used to accomplish an adaptive presentation or adaptive navigation support in educational adaptive hypermedia systems. This paper presents the two approaches to online Web-based testing. The first deals with the use of automated student testing and grading system with the main purpose to evaluate students' progress. The second approach is about the testing in an adaptive Web-based hypermedia educational system where the tests are primary used to update the student model. Our methods of creating, delivering and evaluating the test in both systems are described in this paper.","","0-7803-7763-X","10.1109/EURCON.2003.1248214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1248214","","System testing;Automatic testing;Adaptive systems;Feedback;Automated highways;Navigation;Computer aided instruction;Helium;Courseware;Cultural differences","distance learning;Internet;courseware;multimedia systems;computer aided instruction;performance evaluation","online testing;Web-based educational systems;assess the knowledge;students' progress;adaptive navigation support;adaptive hypermedia systems;automated student testing;grading system;test evaluation;courseware;distance learning","","2","","9","IEEE","3 Dec 2003","","","IEEE","IEEE Conferences"
"Personalized Learning Research on Interest-Driven in Virtual Learning Community","Y. Cheng; G. Zeng; W. -S. Xu; Q. -Y. Weng","College of Computer and Information Engineering, Jiangxi Normal University, Nanchang, China; College of Computer and Information Engineering, Jiangxi Normal University, Chongqing, China; College of electronic and information engineering, Tongji University, Shanghai, China; College of Computer and Information Engineering, Jiangxi Normal University, Nanchang, China","2016 International Conference on Information System and Artificial Intelligence (ISAI)","16 Jan 2017","2016","","","561","565","Traditional classroom teaching is difficult to satisfy students' personalized learning. The main work of the thesis constructs knowledge point model which using relational model and constructs student model according to the students' interest characteristics, it uses improved k-means algorithm to analyze students' learning interest characteristics to dig out the interests of different students, and provide the advice for teaching strategies, so as to meet the demand of students' personalized learning. Ultimately we improve the teaching quality of teachers and students to learn the effect of teaching optimization purposes.","","978-1-5090-1585-6","10.1109/ISAI.2016.0125","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7816778","Virtual learning community;K-means algorithm;Education data mining","Education;Data mining;Data models;Indexes;Analytical models;Clustering algorithms;Time-frequency analysis","computer aided instruction;optimisation;pattern clustering","personalized learning research;virtual learning community;traditional classroom teaching;knowledge point model;relational model;k-means algorithm;students learning interest characteristic;teaching optimization","","","","12","IEEE","16 Jan 2017","","","IEEE","IEEE Conferences"
"Analysis of open answers via mediated peer-assessment","A. Sterbini; M. Temperini","Department of Computer Science, Sapienza University of Rome, Rome, Italy; Dept. of Computer, Control, and Management Engineering, Sapienza University of Rome, Rome, Italy","2013 17th International Conference on System Theory, Control and Computing (ICSTCC)","19 Dec 2013","2013","","","663","668","The analysis and grading of open answers (i.e. answers to open-ended questions) is a powerful means to model the state of knowledge and cognitive level of students in e-learning systems. In a previous work (presented at last SPEL workshop) we showed an approach to open answers grading, based on Constraint Logic Programming (CLP) and peer assessment, where students were defined as triples of finite-domain variables: K for student's Knowledge about the question's topic, C for Correctness of her/his answer, and J for her/his estimated ability to evaluate (“Judge”) another peer's answer. The CLP Prolog module supported the grading process helping eventually to get a complete set of grades although the teacher had actually graded only a (substantial indeed) part of them. Here we try and tackle the problem of grading open answers by an alternative approach, using peer-assessment in a social collaborative e-learning setting, mediated by the teacher through a simple Bayesian-networks-based model, that allows managing student models (based on the same finite-domain variables as above) and producing again automated evaluations of those answers that have not been graded by the teacher. In particular we give an account of the OpenAnswer web-based system, which can allow teachers and students to use our approach, and show the result of some experimentation we conducted.","","978-1-4799-2228-4","10.1109/ICSTCC.2013.6689036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6689036","assessment;peer assessment;social collaborative e-learning;bayesian networks","Computational modeling;Bayes methods;Probability distribution;Computer science;Electronic learning;Semantics;Ontologies","belief networks;computer aided instruction;constraint handling;educational administrative data processing;groupware;Internet;PROLOG","OpenAnswer Web-based system;Bayesian-networks-based model;social collaborative e-learning system;grading process;CLP Prolog module;finite-domain variables;constraint logic programming;open answers grading;student cognitive level;student knowledge state;open-ended questions;mediated peer-assessment","","21","","31","IEEE","19 Dec 2013","","","IEEE","IEEE Conferences"
"Work in progress — Engaging engineering students in broader abet outcomes via community of learners instruction","D. M. Wilson","Department of Electrical Engineering, University of Washington, Seattle, WA, USA","2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports","4 Jan 2008","2007","","","S1A-7","S1A-8","This paper presents the design-based research framework for a new course (the contemporary world of electrical engineering) that uses a community of learners model to integrate professional and personal development skills into an in-depth overview of major sub-fields of electrical engineering. The combination of a community of learners format with a gateway (survey) course context targets (a) improvement in the student's sense of belonging to various levels of community within the University and (b) enhancing the student's understanding and embrace of broader ABET outcomes. These broader outcomes include those criteria that are typically difficult for engineering programs to address in a meaningful integrated way, including professional and ethical responsibility, broader impacts of technology, and rich, meaningful oral and written communication.","2377-634X","978-1-4244-1083-5","10.1109/FIE.2007.4418157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4418157","Community of Learners;Belonging;Sense of Community;Gateway Engineering Course","Engineering students;Electrical engineering;Contacts;Design engineering;Knowledge engineering;Ethics;Data analysis;Engineering education;Engineering profession","educational courses;electrical engineering education;ethical aspects","ABET;learners instruction community;design-based research framework;electrical engineering course;professional development skills;personal development skills;ethical responsibility","","","","6","IEEE","4 Jan 2008","","","IEEE","IEEE Conferences"
"The Affect Effect: Integrating Student Emotions into the Design of Engineering Technology Courses with Optimization Method","H. Wang; L. Cruz; M. Shank","Electro-Mechanical Engineering, Penn State University, New Kensington, US; Schreyer Institute, Penn State University, US; Department of Psychology, Penn State University, New Kensington, US","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","8","This Innovative Practice Full Paper presents a study that enhanced both cognitive and non-cognitive learning outcomes through optimizing science, technology, engineering and math (STEM) students’ affective responses. Much of engineering education has focused on designing courses and curriculum to maximize both cognitive and, increasingly, non-cognitive learning outcomes. The role of affective outcomes, such as feelings or values, have been comparatively under-studied in the engineering context [1]. This despite the fact that there is promising research in both educational psychology and computer science that links positive affect with enhanced learning outcomes [2], [3].To design a study based on affect, an engineering professor partnered with an advanced undergraduate psychology student to develop a model for capturing and applying affective outcomes in applied engineering courses. To measure affect, we collected weekly surveys of the students’ affective responses to both the mode of delivery and nature of the content using categories such as boredom, surprise, and confidence, each of which have been identified as potentially significant by other researchers. We then integrated the students’ responses into a predictive linear recursion model, which was, in turn, used to make curricular decisions periodically throughout the semester. In other words, the students’ affective responses were used to influence the content and the delivery of the course as it was being taught.Our findings suggest that using this predictive model to optimize affective responses could be used as the basis of responsive course design and the enhancement of student learning outcomes. The study has implications for the further study of the role of affective outcomes in engineering education; as well as the advancement of co-created (with students) models of instructional and curricular design that incorporate affective variables.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9274279","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274279","Affect;Linear Recursion Model;STEM;Optimization","Spirals;Solid modeling;Predictive models;Psychology;Statistics;Sociology;STEM","cognition;computer science education;educational courses;engineering education;further education;optimisation;psychology;STEM","affect effect;student emotions;engineering technology courses;optimization method;innovative practice full paper;noncognitive learning outcomes;engineering education;curriculum;educational psychology;computer science;engineering professor;advanced undergraduate psychology student;affective outcomes;applied engineering courses;affective responses;responsive course design;student learning outcomes;instructional design;curricular design;affective variables;cognitive learning outcomes;science technology engineering and math;STEM;predictive linear recursion model;curricular decisions","","2","","37","IEEE","4 Dec 2020","","","IEEE","IEEE Conferences"
"A Quantitative Analysis of Self-Efficacy, Causal Attributions, Academic Performance, Personal Characteristics, and Life at University: An Engineering Education Outlook","V. S. Schirichian; J. A. B. Grimoni; F. Vidigal de Paula","Escola Politécnica, University of São Paulo, São Paulo, Brazil; Escola Politécnica, University of São Paulo, São Paulo, Brazil; Psychology Institute, University of São Paulo, São Paulo, Brazil","IEEE Transactions on Education","16 Aug 2022","2022","65","3","277","286","This article is an extension of a work in progress paper originally presented at the conference FiE 2020, Frontiers in Education by (Schirichian et al., 2020), as a result of Schirichian’s master’s in science dissertation. It studies the relations between academic performance, protection factors, life at university, and personal characteristics to understand how they influence students’ academic success in undergraduate engineering programs in Brazil. In this challenging environment, several students overcome these issues and graduate, which indicates that some protection structures allow students to face challenging situations and be successful in their studies. Current research studied the relationships between academic performance, self-efficacy, causal attributions, personal characteristics, and life at university, with a group of 30 students. Models were studied by combining the different variables and aspects evaluated in the research, and the findings show relationship between academic performance and: 1) self-efficacy, causal attributions, and personal characteristics (such as leisure activities, living with their parents, or college accommodations) and those who attended private schools during basic education; 2 protection factors self-efficacy and causal attributions with advancing in the program and the time of enrolment in the university; and 3) the dimensions initiation and persistence, success/internality and failure/internality, indicating that those who perceive themselves as playing a major role in their academic journey tend to have better outcomes. Further results show the influence of social inequalities, particularly for those students who declared themselves brown and who conducted their basic education in public schools (which are generally of lower quality than private ones in Brazil).","1557-9638","","10.1109/TE.2022.3168771","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9841038","Academic performance;causal attribution;engineering education;self-efficacy","Education;Faces;Psychology;Schedules;Ethics;Engineering profession;Task analysis","computer aided instruction;educational courses;educational institutions;engineering education;further education","causal attributions;personal characteristics;academic performance;self-efficacy;basic education;protection factors;academic journey;conference FiE 2020;undergraduate engineering programs;engineering education outlook;quantitative analysis;science dissertation;Brazil;leisure activities;college accommodations","","","","25","IEEE","26 Jul 2022","","","IEEE","IEEE Journals"
"Work in progress-art to part in engineering education","P. Zang; P. Devanahalli; M. Zgorzelski","Mechanical Engineering, Kettering University, Flint, MI, USA; Mechanical Engineering, Kettering University, Flint, MI, USA; Mechanical Engineering, Kettering University, Flint, MI, USA","34th Annual Frontiers in Education, 2004. FIE 2004.","18 Apr 2005","2004","","","F4G","12","This paper reports on the work-in-progress of a unique course offering in the Mechanical Engineering Department of Kettering University tentatively called Art to Part. The mission of the course is to bring together a number of previous computer and design courses into a senior level design-based manufacturing course. Students model and analyze their designs, and then using either a Z-Corp rapid prototyping machine or EMCO lathe or turning centers, manufacture their designs. Once the students9 designs are produced, the 3-D models are checked against the original computer model through the use of a coordinate measuring machine to validate the models accuracy. Extensive collaborative student teamwork is developed using computer product lifecycle management software. This course is sponsored by the manufacturing division of general motors.","0190-5848","0-7803-8552-7","10.1109/FIE.2004.1408670","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1408670","","Engineering education;Computer aided manufacturing;Collaborative software;Mechanical engineering;Art;Prototypes;Turning;Virtual manufacturing;Coordinate measuring machines;Teamwork","work in progress;engineering education;educational courses;educational institutions;design engineering;CAD;groupware;team working;lathes;turning (machining);mechanical engineering","work in progress;engineering education;educational course;Mechanical Engineering Department;Kettering University;design-based manufacturing course;Z-Corp rapid prototyping machine;EMCO lathe;turning centers;3D models;coordinate measuring machine;extensive collaborative student teamwork;computer product lifecycle management software;manufacturing division;general motors;computer-aided design;design course;hands-on design","","","","","IEEE","18 Apr 2005","","","IEEE","IEEE Conferences"
"A First Step toward Recommendations Based on the Memory of Users","F. Marchal; S. Castagnos; A. Boyer","LORIA - Université de Lorraine, Vandœuvre, France; LORIA - Université de Lorraine, Vandœuvre, France; LORIA - Université de Lorraine, Vandœuvre, France","2016 IEEE 28th International Conference on Tools with Artificial Intelligence (ICTAI)","16 Jan 2017","2016","","","54","61","Most of recommender systems build their predictions by analysing the preferences of users. However, there are many situations, such as in intelligent tutoring systems, where recommendations of pedagogical resources should rather be based on their memory. So as to infer in real time and with low involvement what has been memorized by users, we highlight in the paper the link between gaze features and visual memory. We designed a user experiment where different subjects had to remember a large set of images. In the meantime, we collected about 19,000 fixation points. Among other metrics, our results show a strong correlation between the relative path angles and the memorized items. It is thus possible to predict the users' memory status by analyzing their gaze data while interacting with the system, so as to provide recommendations that fits their learning curve.","2375-0197","978-1-5090-4459-7","10.1109/ICTAI.2016.0019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7814579","Learner modeling;Gaze data;Eye-Tracking;Visual memory;Recall","Computational modeling;Adaptation models;Recommender systems;Visualization;Context;Memory management;Monitoring","cognition;recommender systems","recommender systems;user preference analysis;gaze features;visual memory;relative path angles;memorized items;user memory status;learning curve","","1","","33","IEEE","16 Jan 2017","","","IEEE","IEEE Conferences"
"Towards an adaptive delivery of evaluation tools","E. Espinosa; V. Robledo-Rella; L. Neri; J. Noguez","Tecnológico de Monterrey, Mexicali, Mexico; Tecnológico de Monterrey, Mexicali, Mexico; Tecnológico de Monterrey, Mexicali, Mexico; Tecnológico de Monterrey, Mexicali, Mexico","2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports","4 Jan 2008","2007","","","T2D-13","T2D-17","Currently, online tests, quizzes and other forms of computer assisted evaluation tend to be delivered using a number of channels such as the web, SMS, MMS, podcasts and streamlined video feeds on an increasing variety of ubiquitous gadgets. In a number of Intelligent Tutoring Systems (ITS), such as ActiveMath, tests are assembled by the system from a pool of questions using student and domain models that are manipulated with automated reasoning machines such as Elvira or Jess. It may be argued that such forms of evaluation are adaptive in a per- question basis. Other, more commercial products such as on-line book resorce of Physics by Wilson Buffa (Prentice- Hall), and the Brownstone software don't offer selective assembly of quizzes and tests, resorting rather to large exam sets from which the user may encounter a variety of practice options. In the case of courses un mathematics and physics, it would be desirable to have the questions themselves be adaptive, that is, that the values and variables used in formulas within the exam be adaptive based on student and domain models. This way, the size of question databases would be greatly reduced as these become databases with learning objects themselves. We have produced the first prototype of such a system. On this paper, we present the mechanics within, and show some preliminary results, as well as a list of objectives for future work.","2377-634X","978-1-4244-1083-5","10.1109/FIE.2007.4418167","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4418167","Online assessment;e-learning;adaptive content;student model","Physics;Databases;Pervasive computing;Digital audio broadcasting;Streaming media;Feeds;Intelligent systems;Machine intelligence;Automatic testing;System testing","intelligent tutoring systems","adaptive delivery;evaluation tools;intelligent tutoring systems;activemath;automated reasoning machines;Brownstone software;question databases","","2","","19","IEEE","4 Jan 2008","","","IEEE","IEEE Conferences"
"MLaaS: A Cloud-Based System for Delivering Adaptive Micro Learning in Mobile MOOC Learning","G. Sun; T. Cui; J. Yong; J. Shen; S. Chen","School of Computing and Information Technology, University of Wollongong, Wollongong, N.S.W., Australia; School of Computing and Information Technology, University of Wollongong, Wollongong, N.S.W., Australia; School of Management and Enterprise, University of Southern Queensland, Toowoomba, Qld., Australia; School of Computing and Information Technology, University of Wollongong, Wollongong, N.S.W., Australia; Digital Productivity Flagship, CSIRO, Sydney, Australia","IEEE Transactions on Services Computing","6 Apr 2018","2018","11","2","292","305","Mobile learning in massive open online course (MOOC) evidently differs from its traditional ways as it relies more on collaborations and becomes more fragmented. We present a cloud-based virtual learning environment (VLE) which can organize learners into a better teamwork context and customize micro learning resources in order to meet personal demands in real time. Particularly, a smart micro learning environment was built by a newly designed Software as a Service (SaaS), namely Micro Learning as a Service (MLaaS). It aims to provide adaptive micro learning contents as well as learning path identifications customized for each individual learner. To personalize the micro learning, a dynamic learner model is constructed with regards to the internal and external factors that can affect learning experience and outcomes. Educational data mining (EDM) techniques are employed as the main method to understand learners' behaviors and recognize learning resource features. A solution of learning path optimization is also proposed towards assembling a complete MOOC learning experience.","1939-1374","","10.1109/TSC.2015.2473854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7226858","Mobile learning;MOOC;collaborative learning;micro learning;service-oriented system","Mobile communication;Education;Teamwork;Mobile handsets;Software as a service;Australia","cloud computing;computer aided instruction;data mining;educational courses;Internet;mobile learning","dynamic learner model;complete MOOC learning experience;MLaaS;delivering adaptive MicroLearning;mobile MOOC Learning;massive open online course;virtual learning environment;teamwork context;smart microlearning environment;adaptive microlearning contents;microlearning-as-a-service;cloud-based virtual learning environment;educational data mining;EDM;software-as-a-service","","43","","58","IEEE","27 Aug 2015","","","IEEE","IEEE Journals"
"Knowledge Distillation for Face Photo–Sketch Synthesis","M. Zhu; J. Li; N. Wang; X. Gao","State Key Laboratory of Integrated Services Networks, School of Telecommunications Engineering, Xidian University, Xi’an, China; State Key Laboratory of Integrated Services Networks, School of Electronic Engineering, Xidian University, Xi’an, China; State Key Laboratory of Integrated Services Networks, School of Telecommunications Engineering, Xidian University, Xi’an, China; Chongqing Key Laboratory of Image Cognition, Chongqing University of Posts and Telecommunications, Chongqing, China","IEEE Transactions on Neural Networks and Learning Systems","3 Feb 2022","2022","33","2","893","906","Significant progress has been made with face photo–sketch synthesis in recent years due to the development of deep convolutional neural networks, particularly generative adversarial networks (GANs). However, the performance of existing methods is still limited because of the lack of training data (photo–sketch pairs). To address this challenge, we investigate the effect of knowledge distillation (KD) on training neural networks for the face photo–sketch synthesis task and propose an effective KD model to improve the performance of synthetic images. In particular, we utilize a teacher network trained on a large amount of data in a related task to separately learn knowledge of the face photo and knowledge of the face sketch and simultaneously transfer this knowledge to two student networks designed for the face photo–sketch synthesis task. In addition to assimilating the knowledge from the teacher network, the two student networks can mutually transfer their own knowledge to further enhance their learning. To further enhance the perception quality of the synthetic image, we propose a KD+ model that combines GANs with KD. The generator can produce images with more realistic textures and less noise under the guide of knowledge. Extensive experiments and a user study demonstrate the superiority of our models over the state-of-the-art methods.","2162-2388","","10.1109/TNNLS.2020.3030536","National Key Research and Development Program of China(grant numbers:2018AAA0103202); National Natural Science Foundation of China(grant numbers:61922066,61876142,61671339,61772402,U1605252,61976166,62036007); National High-Level Talents Special Support Program of China(grant numbers:CS31117200001); Fundamental Research Funds for the Central Universities(grant numbers:JB190117); Xidian University Intellifusion Joint Innovation Laboratory of Artificial Intelligence; Innovation Fund of Xidian University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240973","Face photo–sketch synthesis;generative adversarial networks (GANs);knowledge distillation (KD);teacher–student model","Faces;Knowledge engineering;Face recognition;Task analysis;Gallium nitride;Training data;Data models","face recognition;image texture;learning (artificial intelligence);neural nets","face photo-sketch synthesis task;synthetic image;teacher network;face sketch;student networks;knowledge distillation;deep convolutional neural networks;generative adversarial networks;photo-sketch pairs","","7","","75","IEEE","27 Oct 2020","","","IEEE","IEEE Journals"
"Combining expert systems and adaptive hypermedia technologies in a Web based educational system","I. Hatzilygeroudis; C. Giannoulis; C. Koutsojannis","Dept of Computer Engineering & Informatics, University of Patras, Patras, Greece; Dept of Computer Engineering & Informatics, University of Patras, Patras, Greece; Dept of Computer Engineering & Informatics, University of Patras, Patras, Greece","Fifth IEEE International Conference on Advanced Learning Technologies (ICALT'05)","19 Sep 2005","2005","","","249","253","In this paper, we present a Web-based intelligent education system to help students in the context of an AI course. We concentrate on the adaptivity and student evaluation aspects of the system. Adaptivity refers to the capability of the system to adapt teaching to student needs, specified by the student model characteristics. Student evaluation refers to the evaluation of the knowledge level of a student, which is one of the most important characteristics, with regards to taught concepts. Adaptive hypermedia techniques, like graphical link annotation, and an intelligent technique, i.e. a rule-based expert system, are used to achieve the above goals. An evaluation of the system showed encouraging results as far as its usability and learning are concerned.","2161-377X","0-7695-2338-2","10.1109/ICALT.2005.86","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1508666","","Expert systems;Adaptive systems;Educational technology;Artificial intelligence;Intelligent systems;Education;Delta modulation;World Wide Web;Navigation;Samarium","intelligent tutoring systems;expert systems;Internet;computer science education;hypermedia;educational courses","expert systems;adaptive hypermedia technology;Web based educational system;Web-based intelligent education system;students;artificial intelligence course;teaching;student needs;student knowledge level evaluation;graphical link annotation;rule-based expert system","","7","","8","IEEE","19 Sep 2005","","","IEEE","IEEE Conferences"
"Stealing from physics: modeling with mathematical functions in data-rich contexts","T. Erickson",NA,"Teaching Mathematics and Its Applications: International Journal of the IMA","19 Jan 2018","2006","25","1","23","32","In the course of a project to create physics education materials for secondary schools in the USA we have, not surprisingly, had insights into how students develop certain mathematical understandings. Some of these translate directly into the mathematics classroom. With our materials, students get data from a variety of sources, data that arise in real-world phenomena. Students find functions to model the data; these appear as curves on scatter plots. Through this, students learn about the phenomena, and also about the mathematics behind the functions. This is neither complicated nor particularly new [see, e.g., Hestenes, D. (1987) Toward a Modeling Theory of Physics Instruction. American Journal of Physics, 55, 440–445 and Wells, M. Hestenes, D. and Swackhamer, G. (1995) A Modeling Method for high school physics instruction. American Journal of Physics, 63, 606–619.]. Thus this paper focuses on some details. How do students model the data? In what ways do students find these tasks challenging? And why don't we already do this more commonly? The observations we make in this paper are conjectures based on observations of students in classrooms in the San Francisco, California area; documenting them more thoroughly is the object of ongoing research. In this paper, we will discuss how students do modeling, describe the search for meaning in the parameters (for example, the meaning of slope), and describe some of the problems students seem to have coordinating the data and the models.","1471-6976","","10.1093/teamat/hri025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8148784","","","","","","","","","","19 Jan 2018","","","OUP","OUP Journals"
"Building Individual Educational Routes for Learning SQL Queries","A. Govorov; M. Govorova; H. Slizen; S. Ivanov","ITMO University, Saint Petersburg, Russia; ITMO University, Saint Petersburg, Russia; ITMO University, Saint Petersburg, Russia; ITMO University, Saint Petersburg, Russia","2019 25th Conference of Open Innovations Association (FRUCT)","6 Feb 2020","2019","","","116","122","Due to how prevalent the usage of database technologies is in everyday life and related professional fields, the insufficient qualifications of specialists in relevant positions becomes an issue. The aim of this paper is to show the importance of forming individual educational routes as a factor influencing the effectiveness of training and the ability of a specialist to develop skills in professional activities. In learning SQL queries, repeatedly performing typical tasks, seeing the results, and adjusting queries accordingly, is necessary. Therefore, computer training simulators can be considered the most effective tool for learning SQL queries. This paper proposes a method for building an individual educational route for fulfilling tasks meant to train professional skills in compiling SQL queries. The task and learner models are described within the method. The A* algorithm is modified based on the proposed models, and the conditions of using it for creating an optimal individual educational route are described. Based on the theoretical study results, a computer simulator for training professional skills in writing SQL queries is implemented using the method of building individual educational routes for fulfilling tasks meant to train professional skills in writing SQL queries. Based on the analysis of the results of a test run, the conclusion is that the usage of the proposed method and the algorithm implemented in a computer simulator can be considered effective.","2305-7254","978-952-69244-0-3","10.23919/FRUCT48121.2019.8981522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8981522","","","computer aided instruction;computer based training;distance learning;professional aspects;query processing;SQL","computer training simulators;optimal individual educational route;professional skills training;SQL queries learning;database technologies;A* algorithm","","","","15","","6 Feb 2020","","","IEEE","IEEE Conferences"
"Using machine learning to predict learner emotional state from brainwaves","A. Heraz; R. Razaki; C. Frasson","HERON Laboratory, Computer Science Department, University of Montréal, Montreal, QUE, Canada; HERON Laboratory, Computer Science Department, University of Montréal, Montreal, QUE, Canada; HERON Laboratory, Computer Science Department, University of Montréal, Montreal, QUE, Canada","Seventh IEEE International Conference on Advanced Learning Technologies (ICALT 2007)","30 Jul 2007","2007","","","853","857","Intelligent Tutoring Systems (ITS) learner model has progressively evolved. Initially composed of a cognitive module it was extended with a psychological module and an emotional module. The learner model still remains non-exhaustive. Methods of data collection on the cognitive and emotional state of the learner often lack precision and objectivity. In this paper we introduce an emomental agent. It interacts with an ITS to communicate the emotional state of the learner based upon his mental state. The mental state is obtained from the learner's brainwaves. The agent learns to predict the learner's emotions by using machine learning techniques.","2161-377X","0-7695-2916-X","10.1109/ICALT.2007.277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4281175","","Machine learning;Psychology;Brain computer interfaces;Frequency;Laboratories;Computer science;Intelligent systems;Learning systems;Educational activities;Brain modeling","cognition;intelligent tutoring systems;learning (artificial intelligence);multi-agent systems;psychology","machine learning;learner emotional state prediction;learner brainwave;intelligent tutoring systems learner model;cognitive module;psychological module;emotional module;emomental agent","","33","","25","IEEE","30 Jul 2007","","","IEEE","IEEE Conferences"
