Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Adaptive Technologies for Flipped Learning.","ERYILMAZ, Meltem; AHMED, Aisha","Proceedings of the International Future-Learning Conference on Innovations in Learning for the Future: e-Learning",,,="2016",,,"67","1","122734821",,"Istanbul University, Department of Informatics","Article","Educational technology; Flipped classrooms; Learning ability; School children; English language education; Classroom environment","adaptive learning environment; adaptive technologies; flipped class; flipped learning","The purpose of this study is to develop a flipped classroom model using adaptive technologies for elementary school students. Nowadays, correspondingly to scientific and technological developments, the need for ensuring a better education facility for individuals caused the usage of new educational models. Flipped learning is one of these newest models. Adaptive learning environment which is another innovative model for learning that personalizes teaching for each student by creating a model of the preferences, areas of interest and aims of the students. This study proposes several adaptive techniques for flipped learning environment in teaching English classes. Students can study the educational content at home before come to class and their learning platform can be configured according to student model. Educational content contains two main levels. The beginning which includes introduction content and the advanced level which contains more advanced content. An evaluation test applied for the students to define their preknowledge levels before enrolling the courses. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=122734821&site=ehost-live&scope=site"
,"Betts, George T.; Carey, Robin J.; Kapushion, Blanche M.",,="ERICRIE0",="978-1-61821-598-7",="20160101",,,,,"ED570864",,"Prufrock Press Inc.","Books","Learning Activities; Independent Study; Personal Autonomy; Student Development; Emotional Development; Social Development; Cognitive Development; Physical Development; Lifelong Learning; Learner Controlled Instruction; Resource Materials; Teaching Guides; Models",,"""Autonomous Learner Model Resource Book"" includes activities and strategies to support the development of autonomous learners. More than 40 activities are included, all geared to the emotional, social, cognitive, and physical development of students. Teachers may use these activities and strategies with the entire class, small groups, or with individuals who are ready to be independent, self-directed, lifelong learners. These learners have the passions, abilities, skills, and attitudes to go beyond the regular curriculum and take control of their own educational pathways. Field-tested strategies and activities in the book include Find Someone Who, Teacher and Learner Questionnaires, Lifelong Notebook, Time Capsule, and Night of the Notables.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=ED570864&site=ehost-live&scope=site"
"Is there a role for a primary health nurse in a learning support team in a disadvantaged high school? Evaluation of a pilot study.","Dennis S; Noon T; Liaw ST","Australian journal of primary health",="1448-7527",,="2016 Feb","22","6","530",,"28442038","10.1071/PY15166","Australian Journal of Public Health, Australian Institute for Primary Care, La Trobe University","Journal Article","Learning; Primary Health Care; School Health Services; Adolescent; Female; Humans; Male; New South Wales; Pilot Projects; Program Evaluation; Vulnerable Populations; Workforce",,"Disadvantaged children experience more health problems and have poorer educational outcomes compared with students from advantaged backgrounds. This paper presents the quantitative and qualitative findings from a pilot study to determine the impact of the Healthy Learner model, where an experienced primary care nurse was embedded in a learning support team in a disadvantaged high school. Students entering high school with National Assessment Program, Literacy and Numeracy (NAPLAN) scores in the lowest quartile for the school were assessed by the nurse and identified health issues addressed. Thirty-nine students were assessed in 2012-13 and there were up to seven health problems identified per student, ranging from serious neglect to problems such as uncorrected vision or hearing. Many of these problems were having an impact on the student and their ability to engage in learning. Families struggled to navigate the health system, they had difficulty explaining the student's problems to health professionals and costs were a barrier. Adding a nurse to the learning support team in this disadvantaged high school was feasible and identified considerable unmet health needs that affect a student's ability to learn. The families needed extensive support to access any subsequent health care they required.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=28442038&site=ehost-live&scope=site"
"The SIETTE Automatic Assessment Environment.","Conejo, Ricardo; Guzmán, Eduardo; Trella, Monica","International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.)",="15604292",,="Mar2016","26","1","270","23","113083665","10.1007/s40593-015-0078-4","Springer Nature","Article","Item response theory; Classical test theory; Computer adaptive testing","Automatic assessment; Computerized adaptive testing; Item Response Theory","This article describes the evolution and current state of the domain-independent Siette assessment environment. Siette supports different assessment methods-including classical test theory, item response theory, and computer adaptive testing-and integrates them with multidimensional student models used by intelligent educational systems. Teachers can use an authoring tool to create large item pools of different types of questions, including multiple choice, open answer, generative questions, and complex tasks. Siette can be used for formative and summative assessment and incorporates different learning elements, including scaffolding features, such as hints, feedback, and misconceptions. It includes numerous other features covering different educational needs and techniques, such as spaced repetition, collaborative testing, or pervasive learning. Siette is designed as a web-based assessment component that can be semantically integrated with intelligent systems or with large LMSs, such as Moodle. This article reviews the evolution of the Siette system, presents information on its use, and analyses this information from a broader and critical perspective on the use of intelligent systems in education. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=113083665&site=ehost-live&scope=site"
"SMILI☺: a Framework for Interfaces to Learning Data in Open Learner Models, Learning Analytics and Related Fields.","Bull, Susan; Kay, Judy","International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.)",="15604292",,="Mar2016","26","1","293","39","113083657","10.1007/s40593-015-0090-8","Springer Nature","Article","Learning; Visual analytics","Learner model; Learning analytics; Open learner model; Student model; Visual learning analytics","The SMILI☺ (Student Models that Invite the Learner In) Open Learner Model Framework was created to provide a coherent picture of the many and diverse forms of Open Learner Models (OLMs). The aim was for SMILI☺ to provide researchers with a systematic way to describe, compare and critique OLMs. We expected it to highlight those areas where there had been considerable OLM work, as well as those that had been neglected. However, we observed that SMILI☺ was not used in these ways. We now reflect on the reasons for this, and conclude that it has actually served a broader role in defining the notion of OLM and informing OLM design. Since the initial SMILI☺ paper, much has changed in technology-enhanced learning. Notably, learning technology has become far more pervasive, both in formal and lifelong learning. This provides huge, and still growing amounts of learning data. The fields of Learning Analytics (LA), Learning at Scale (L@S), Educational Data Mining (EDM) and Quantified Self (QS) have emerged. This paper argues that there has also been an important shift in the nature and role of learner models even within Artificial Intelligence in Education and Intelligent Tutoring Systems research. In light of these trends, and reflecting on the use of SMILI☺, this paper presents a revised and simpler version of SMILI☺ alongside the original version. In both cases there are additional categories to encompass new trends, which can be applied, omitted or substituted as required. We now offer this as a guide for designers of interfaces for OLMs, learning analytics and related fields, and we highlight the areas where there is need for more research. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=113083657&site=ehost-live&scope=site"
"From Interactive Open Learner Modelling to Intelligent Mentoring: STyLE-OLM and Beyond.","Dimitrova, Vania; Brna, Paul","International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.)",="15604292",,="Mar2016","26","1","332","18","113083660","10.1007/s40593-015-0087-3","Springer Nature","Article","Interactive learning; Autodidacticism","Adult self-regulated learning; Intelligent mentoring systems; Interactive open learner modelling","STyLE-OLM (Dimitrova International Journal of Artificial Intelligence in Education, 13, 35-78) presented a framework for interactive open learner modelling which entails the development of the means by which learners can inspect, discuss and alter the learner model that has been jointly constructed by themselves and the system. This paper outlines the STyLE-OLM framework and reflects on the key challenges it addressed: (a) the design of an appropriate communication medium; this was addressed by proposing a structured language using diagrammatic representations of conceptual graphs; (b) the management of the interaction with the learner; this was addressed by designing a framework for interactive open learner modelling dialogue utilising dialogue games; (c) the accommodation of different beliefs about the learner's domain model; this was addressed with a mechanism for maintaining different views about the learner beliefs which adapted belief modal logic operators; and (d) the assessment of any resulting improvements in learner model accuracy and learner reflection; this was addressed in a user study with an instantiation of STyLE-OLM for diagnosing a learner's knowledge of finance concept, as part of a larger project that developed an intelligent system to assist with learning domain terminology in a foreign language. Reviewing follow on work, we refer to projects by the authors' students and colleagues leading to further extension and adoption of STyLE-OLM, as well as relevant approaches in open learner modelling which have cited the STyLE-OLM framework. The paper points at outstanding research challenges and outlines future a research direction to extend interactive open learner modelling towards mentor-like intelligent learning systems. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=113083660&site=ehost-live&scope=site"
"From Small Seeds Grow Fruitful Trees: How the PHelpS Peer Help System Stimulated a Diverse and Innovative Research Agenda over 15 Years.","Vassileva, J.; McCalla, G.; Greer, J.","International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.)",="15604292",,="Mar2016","26","1","431","17","113083670","10.1007/s40593-015-0073-9","Springer Nature","Article","Learning; Correctional Service Canada","Active learner modeling; Affect; Agent based learning architectures; Ecological approach; Educational data mining; Motivation; Open learner modeling; Peer help; Privacy; Reputation; Scalability; Simulation","PHelpS was a system that helped Correctional Service Canada (CSC) workers to find appropriate helpers among their peers when they were encountering problems while interacting with the CSC database. This seemingly simple system had substantial, and surprising, ramifications. Over time it transformed each of our perspectives as to the issues facing AIED. In this paper we reflect on the influence of the PHelpS peer help system on our subsequent research agenda as well as some of the broader influences of our work. In particular, we discuss a number of research projects arising out of PHelpS directly or indirectly, including the I-Help (aka iHelp) system, a peer help system that has been widely deployed in university courses; a distributed multi-agent architecture for peer help systems that uses fragmented learner modelling to support its activities; the active user modelling paradigm which views 'learner model' as a computation not a knowledge structure; the ecological approach, a general architecture for learning systems in which patterns mined from learner interactions with learning objects inform pedagogical decisions; investigations, especially into privacy and reputation, arising from the large scale deployment of iHelp supported by evidence mined from iHelp data; and research into novel affective and social motivation techniques. We conclude by discussing the implications of the common perspective that has emerged from these interrelated research projects. This perspective views the goal of learning technology design to be to track learners as they carry out authentic activities, to deeply understand these learners and their learning context, and to provide just in time support for their learning. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=113083670&site=ehost-live&scope=site"
"A Framework System for Intelligent Support in Open Distributed Learning Environments-a Look Back from 16 Years Later.","Hoppe, H.","International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.)",="15604292",,="Mar2016","26","1","504","8","113083680","10.1007/s40593-015-0058-8","Springer Nature","Article","Classroom environment; Interaction analysis in education; Mathematics","Collaboration patterns; Interaction analysis; Open distributed learning environments","The 1998 paper by Martin Mühlenbrock, Frank Tewissen, and myself introduced a multi-agent architecture and a component engineering approach for building open distributed learning environments to support group learning in different types of classroom settings. It took up prior work on 'multiple student modeling' as a method to configure and inform group learning situations based on individually assessed learner models. Additionally, methods for detecting collaboration patterns in group action logs were introduced. The approach was exemplified with several applications in the areas of mathematics and general problems solving. The commentary traces a line of development from this work to current mobile and web-based learning architectures and approaches to action logging for interaction analysis. 'Lessons learned' are discussed and briefly illustrated with examples from recent work on intelligently enhanced learning environments. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=113083680&site=ehost-live&scope=site"
"Predicting Students' Problem Solving Performance using Support Vector Machine.","Young-Jin Lee","Journal of Data Science",="1680743X",,="2016","14","2","231","13","116345930",,"National University of Kaohsiung, Department of Applied Mathematics","Article","SUPPORT vector machines; RATING of students; PROBLEM solving ability testing","Bayesian Knowledge Tracing (BKT); Educational Data Mining; Log File Analysis; Support Vector Machine (SVM)","This study investigates whether Support Vector Machine (SVM) can be used to predict the problem solving performance of students in the computerbased learning environment. The SVM models using RBF, linear, polynomial and sigmoid kernels were developed to estimate the probability for middle school students to get mathematics problems correct at their first attempt without using hints available in the computer-based learning environment based on their problem solving performance observed in the past. The SVM models showed better predictions than the standard Bayesian Knowledge Tracing (BKT) model, one of the most widely used prediction models in educational data mining research, in terms of Area Under the receiver operating characteristic Curve (AUC). Four SVM models got AUC values from 0.73 to 0.77, which is approximately 29% improvement, compared to the standard BKT model whose AUC was 0.58. [ABSTRACT FROM AUTHOR] Copyright of Journal of Data Science is the property of National University of Kaohsiung, Department of Applied Mathematics and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=116345930&site=ehost-live&scope=site"
"Editorial.","Blin, Françoise","ReCALL",="09583440",,="May2016","28","2","103","1","114485740","10.1017/S0958344016000033","Cambridge University Press","Article","VOCABULARY education; HIGHER education; SECONDARY education; Elementary and Secondary Schools",,"An introduction is presented which discusses various topics within the issue including online language learning, the Next-TELL open learner model and role of data-driven learning (DDL) in vocabulary acquisition.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=114485740&site=ehost-live&scope=site"
"Competence visualisation: Making sense of data from 21st-century technologies in language learning.","Bull, Susan; Wasson, Barbara","ReCALL",="09583440",,="May2016","28","2","147","19","114485738","10.1017/S0958344015000282","Cambridge University Press","Article","FOREIGN language education; VISUAL learning; EDUCATION; OPEN learning; COMPUTER assisted language instruction; FORMATIVE tests; NORWAY; Administration of Education Programs; All Other Miscellaneous Schools and Instruction; Educational Support Services; Language Schools","21st-century technologies; language learning competences; Open learner model; visual learning analytics","This paper introduces an open learner model approach to learning analytics to combine the variety of data available from the range of applications and technologies in language learning, for visualisation of language learning competences to learners and teachers in the European language context. Specific examples are provided as illustrations (Facebook, Second Life and mobile assisted language learning (MALL)), though the approach is a general one. We describe the Next-TELL open learner model as an exemplar that can encompass a range of data from a variety of technologies and activities, and as a competence-focussed visual analytics tool that can be readily used inside and outside the classroom.The Next-TELL open learner model offers several visualisations for learners and teachers to explore the learner’s current competences, which can be selected according to user preferences or the purpose of viewing the learning data. The selection of visualisations means that the open learner model is appropriate for school, university and other learning contexts. Viewing this data can help students to reflect on and monitor their learning, and can support teachers’ decision-making during classroom activities or later, in their planning of subsequent sessions. As an example, we outline the use of the Next-TELL open learner model in a school in Norway. [ABSTRACT FROM AUTHOR] Copyright of ReCALL is the property of Cambridge University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=114485738&site=ehost-live&scope=site"
"Towards a Cooperative Learning Approach Using Intelligence Based Learners Grouping.","Chikh, Azeddine; Hank, Saida","Computer Applications in Engineering Education",="10613773",,="Jul2016","24","4","639","12","118455107","10.1002/cae.21739","Wiley-Blackwell","Article","Group work in education; Communication in education; Distance education; Audiovisual aids in education; Swarm intelligence","Bloom's objectives; cooperative learning; e‐leaning; e-leaning; learners grouping; multiple‐intelligence; multiple-intelligence","Grouping learners in cooperative learning can help interaction and discussion among learners. However two main problems must be settled so as to group learners. The first is how to build the learner model, which describes the attributes of learners. The second is which technique would be appropriate for learners grouping according to the selected learner model. This paper aims to propose a novel cooperative learning approach using a multiple-intelligence based learners grouping technique. This contribution is three folds: (1) a conceptual model of learners' intelligence, (2) a pre-learning process that aims at: (a) acquiring knowledge of individual learners' intelligence according to the conceptual model of learners' intelligence; (b) grouping the learners into balanced groups based on this intelligence; and (c) calculating knowledge of collective intelligence, useful for cooperative learning during the learning process, and (3) a framework architecture, in order to support the new cooperative learning approach and demonstrate its feasibility. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=118455107&site=ehost-live&scope=site"
"Choosing Between a Student-Run and Professionally Managed Venture Accelerator.","Adomdza, Gordon K.","Entrepreneurship: Theory & Practice",="10422587",,="Jul2016","40","4","943","14","116618885","10.1111/etap.12145","Sage Publications Inc.","Article","Entrepreneurship; Business education; Businesspeople; Training; Business and Secretarial Schools; Colleges, Universities, and Professional Schools; Student leadership; Sustainability; Higher education",,"This case presents challenges facing a student-run venture accelerator at a major university in the United States. The student-run model has attracted much media attention for its uniqueness, but it has also raised questions about its sustainability. Signals from a new dean, not invested in the student model, are putting much pressure on the student-chief executive officer to change course-to tweak the student-run model and fight for its future or cave in to pressures to 'professionalize' it and let students take a backseat in management. The case highlights challenges in entrepreneurial leadership of a student-run accelerator at the point of initial growth. [ABSTRACT FROM AUTHOR] Copyright of Entrepreneurship: Theory & Practice is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bsh&AN=116618885&site=ehost-live&scope=site"
"Interactive Building Anatomy Modeling for Experiential Building Construction Education.","Chan Sik Park; Quang Tuan Le; Pedro, Akeem; Chung Rok Lim","Journal of Professional Issues in Engineering Education & Practice",="10523928",,="Jul2016","142","3","1","12","116207904","10.1061/(ASCE)EI.1943-5541.0000268","American Society of Civil Engineers","Article","INTERACTIVE architecture (Buildings); ARCHITECTURAL design; ARCHITECTURAL models; VIRTUAL reality in engineering; CONSTRUCTION industry education; BUILDING information modeling; COMPUTER-aided design of buildings; EXPERIENTIAL learning; Residential building construction","Building information modeling; Construction education; Experiential learning; Virtual reality","Building construction education is crucial in ensuring university students are adequately knowledgeable and competent to meet industry demands. Attributable to the changeable and complex environment, traditional pedagogical methods in building construction courses cannot equip students with concrete experience and knowledge. Despite several studies, adapting information and communication technology (ICT) tools such as virtual reality (VR) to enhance construction education, limited interaction and low detail of virtual contents still remain an unsolved issue. To address this problem, this study proposes an interactive building anatomy modeling (IBAM) system, which allows students to conveniently interact with VR environment for experiential building construction education. The IBAM system is developed based on the medical anatomy concept, including intuitive features, which support detaching and attaching components; and dissecting which enhances student-model interaction. To identify the advantages and limitations of IBAM, a prototype was developed, and its applicability was verified through a case study. Interim results suggest that the system facilitates experiential learning and provides adequate levels of interaction to effectively transfer knowledge to learners. [ABSTRACT FROM AUTHOR] Copyright of Journal of Professional Issues in Engineering Education & Practice is the property of American Society of Civil Engineers and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=116207904&site=ehost-live&scope=site"
"Faster Teaching via POMDP Planning.","Rafferty AN; Brunskill E; Griffiths TL; Shafto P","Cognitive science",="1551-6709",,="2016 Aug","40","6","1290",,"26400190","10.1111/cogs.12290","Wiley-Blackwell","Journal Article","Concept Formation; Learning; Models, Theoretical; Teaching; Computer Simulation; Humans; Markov Chains",,"Human and automated tutors attempt to choose pedagogical activities that will maximize student learning, informed by their estimates of the student's current knowledge. There has been substantial research on tracking and modeling student learning, but significantly less attention on how to plan teaching actions and how the assumed student model impacts the resulting plans. We frame the problem of optimally selecting teaching actions using a decision-theoretic approach and show how to formulate teaching as a partially observable Markov decision process planning problem. This framework makes it possible to explore how different assumptions about student learning and behavior should affect the selection of teaching actions. We consider how to apply this framework to concept learning problems, and we present approximate methods for finding optimal teaching actions, given the large state and action spaces that arise in teaching. Through simulations and behavioral experiments, we explore the consequences of choosing teacher actions under different assumed student models. In two concept-learning tasks, we show that this technique can accelerate learning relative to baseline performance. Copyright © 2015 Cognitive Science Society, Inc.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=26400190&site=ehost-live&scope=site"
"Is there a gender difference in interacting with intelligent tutoring system? Can Bayesian Knowledge Tracing and Learning Curve Analysis Models answer this question?","Zhuhadar, Leyla; Marklin, Scarlett; Thrasher, Evelyn; Lytras, Miltiadis D.","Computers in Human Behavior",="07475632",,="Aug2016","61",,"198","7","115493039","10.1016/j.chb.2016.02.073","Elsevier B.V.","Article","LEARNING strategies; SEX distribution; USER interfaces","Bayesian knowledge tracing; Intelligent tutoring systems; Learning curve analysis","Multiple studies have been conducted on Project LISTEN, an intelligent tutoring system (ITS) used to analyze educational learning through case analysis of students' interactions with ITS. Studies have defined the phenomenon by exploring ‘what happens when/if’ questions and analyzing these in the context of the specified phenomenon occurrence. While ITS often focus on student decisions regarding when and how to use the system's resources, we suggest further analysis and monitoring are needed to get the best results from these systems. In this study, we argue that boys interact differently with ITS than girls. This finding is evident in results from both the Bayesian Knowledge Tracing and Learning Curve Analysis models. [ABSTRACT FROM AUTHOR] Copyright of Computers in Human Behavior is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=115493039&site=ehost-live&scope=site"
"Pilot Study Using the Augmented Reality Sandbox to Teach Topographic Maps and Surficial Processes in Introductory Geology Labs.","Woods, Terri L.; Reed, Sarah; Hsi, Sherry; Woods, John A.; Woods, Michael R.","Journal of Geoscience Education",="10899995",,="Aug2016","64","3","199","16","117576979","10.5408/15-135.1","Taylor & Francis Ltd","Article","Education; Topographic maps; Augmented reality; Geology laboratories","augmented reality sandbox; embodied learning; geology labs; spatial thinking; surficial processes; topographic maps","Spatial thinking is often challenging for introductory geology students. A pilot study using the Augmented Reality sandbox (AR sandbox) suggests it can be a powerful tool for bridging the gap between two-dimensional (2D) representations and real landscapes, as well as enhancing the spatial thinking and modeling abilities of students. The AR sandbox involves a real box of sand with virtual contour lines and a water flow model created using a three-dimensional (3D) scanning camera, visualization software, and a projector. It was used in undergraduate, physical geology courses to teach topographic maps and surficial features and processes. The instructor demonstrated topographic concepts (contour lines, topographic profiles, etc.), and students engaged in model building of coastal and fluvial environments (drainage basins, cutoffs, longshore transport, sea-level rise, spits, flooding, etc.). The virtual water flow model was used to illustrate water flow dynamics on surface features. With the AR sandbox connected to a computer monitor, students could simultaneously see 3D landscapes in the sandbox and their corresponding 2D images on the monitor. Students used camera phones to capture landscape models they built and submitted them via e-mail for grading. Exit surveys indicated students were overwhelmingly positive (97%) in their perception of how the AR sandbox improved their understanding of learning objectives. They also preferred AR sandbox activities when compared to traditional laboratories that used only topographic maps. Effective classroom use of the AR sandbox required developing student-modeling exercises that took advantage of real-time feedback, virtual water, and physical modeling activities. While data are limited and more research is needed, real-time feedback on student models by both the students and the instructor suggests sandbox models are particularly useful for dispelling student misconceptions. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=117576979&site=ehost-live&scope=site"
"Identifying Interventions for Improving Letter Formation: A Brief Experimental Analysis of Students with Intellectual Disabilities.","ÖZMEN, E. Rüya; ATBAŞI, Zehra","International Electronic Journal of Elementary Education",="13079298",,="Sep2016","9","1","197","13","119048187",,"International Electronic Journal of Elementary Education","Article","Intellectual development; Learning curve (Education); Developmental psychology; Reading; Error correction (Information theory)","Brief Experimental Analysis; early writing; letter formation; students with intellectual disabilities","As a group, students with intellectual disabilities display difficulties in a wide range of academic skills, including the acquisition of basic academic skills such as literacy. Early writing and reading skills must be supported to prepare students with intellectual disabilities to learn to read and write. The goal of this study was to replicate and extend the current research on Brief Experimental Analysis with letter formation. Three students with intellectual disabilities participated in the study. A brief multi-element design was used to test effectiveness of four interventions on letter formation. These interventions included goal setting plus contingent reinforcement, graphical feedback, error correction and modeling. For one student, modeling was effective; for the two remaining students, goal setting plus contingent reinforcement was effective. The results of this study extend the BEA literature by investigating the effects of interventions for improving letter formation in students with intellectual disabilities. The study findings suggest that using BEA to assess the relative contribution of each intervention can identify the most effective interventions for improving letter formation in students with intellectual disabilities. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=119048187&site=ehost-live&scope=site"
"An Analysis of Student Model Portability","Valdés Aguirre, Benjamín; Ramírez Uresti, Jorge A.; du Boulay, Benedict","International Journal of Artificial Intelligence in Education",="15604292",,="20160901","26","3","932",,"EJ1104198","10.1007/s40593-016-0113-0",,"Journal Articles","Intelligent Tutoring Systems; Models; Open Source Technology; Computers; Computer Uses in Education; Computer Software; Computer Peripherals; Tutors; Technology Integration; Comparative Analysis; Classification; Surveys; Natural Language Processing; Factor Analysis; Bayesian Statistics; Matrices; Regression (Statistics); Probability; Prediction; Computer Networks; Computer Interfaces; Client Server Architecture; Access to Computers; Data Processing; Data Analysis; Information Technology; Programmed Tutoring; Users (Information)",,"Sharing user information between systems is an area of interest for every field involving personalization. Recommender Systems are more advanced in this aspect than Intelligent Tutoring Systems (ITSs) and Intelligent Learning Environments (ILEs). A reason for this is that the user models of Intelligent Tutoring Systems and Intelligent Learning Environments, i.e. their student models, tend to be more heterogeneous and complex than traditional models used in Recommender Systems. To share and reuse student models we must first understand the restrictions for porting or reusing student models in new ITSs or ILEs. This paper proposes a classification of student models in terms of their portability. Portability is measured via each model's accessibility, complexity, architecture, popularity, and description. We use this classification to analyse and then grade student models that have been published in the AIED, EDM and ITS research communities in 2013 and 2014. The classification is intended to be used by researchers both as a methodology to measure the portability of a student model and as a guide to find existing reusable models.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1104198&site=ehost-live&scope=site"
"Implementation of Imitation Learning using Natural Learner Central Pattern Generator Neural Networks.","Shahbazi H; Parandeh R; Jamshidi K","Neural networks : the official journal of the International Neural Network Society",="1879-2782",,="2016 Nov","83",,"94",,"27599030","10.1016/j.neunet.2016.08.003","Pergamon Press","Journal Article","Machine Learning; Neural Networks, Computer; Algorithms; Central Pattern Generators",,"In this paper a new design of neural networks is introduced, which is able to generate oscillatory patterns. The fundamental building block of the neural network is O-neurons that can generate an oscillation in its transfer functions. Since the natural policy gradient learning has been used in training a central pattern generator paradigm, it is called Natural Learner CPG Neural Networks (NLCPGNN). O-neurons are connected and coupled to each other in order to shape a network and their unknown parameters are found by a natural policy gradient learning algorithm. The main contribution of this paper is design of this learning algorithm which is able to simultaneously search for the weights and topology of the network. This system is capable to obtain any complex motion and rhythmic trajectory via first layer and learn rhythmic trajectories in the second layer and converge towards all these movements. Moreover this two layers system is able to provide various features of a learner model for instance resistance against perturbations, modulation of trajectories amplitude and frequency. Simulation of the learning system in the robot simulator (WEBOTS) that is linked with MATLAB software has been done. Implementation on a real NAO robot demonstrates that the robot has learned desired motion with high accuracy. These results show proposed system produces high convergence rate and low test errors. Copyright © 2016 Elsevier Ltd. All rights reserved.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=27599030&site=ehost-live&scope=site"
