"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Date published","ISBN","ISSN","ISSN (alt.)","URLs","Abstract","Keywords","Series"
"Journal Article","Tahmasebi M,Fotouhi F,Esmaeili M","","Journal of Artificial Intelligence and Data Mining","2019","7","2","225-238","","","2019-04-01","","2322-5211","2322-4444","https://search.ebscohost.com/login.aspx?direct=true&db=edsdoj&AN=edsdoj.f809a3b4e32447bb70d4a280e49f337&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Personalized recommenders have proved to be of use as a solution to reduce the information overload ‎problem. Especially in Adaptive Hypermedia System, a recommender is the main module that delivers ‎suitable learning objects to learners. Recommenders suffer from the cold-start and the sparsity problems. ‎Furthermore, obtaining learner’s preferences is cumbersome. Most studies have only focused on similarity ‎between the interest profile of a user and those of others. However, it can lead to the gray-sheep problem, ‎in which users with consistently different opinions from the group do not benefit from this approach. On ‎this basis, matching the learner’s learning style with the web page features and mining specific attributes ‎is more desirable. The primary contribution of this research is to introduce a feature-based recommender ‎system that delivers educational web pages according to the user's individual learning style. We propose an ‎Educational Resource recommender system which interacts with the users based on their learning style ‎and cognitive traits. The learning style determination is based on Felder-Silverman theory. Furthermore, ‎we incorporate all explicit/implicit data features of a page and the elements contained in them that have an ‎influence on the quality of recommendation and help the system make more effective recommendations.‎","adaptive educational hypermedia, individual learning styles ‎detection, learner modeling, ‎page ranking, ‎recommendation systems.‎, Information technology, T58.5-58.64, Computer software, QA76.75-76.765",""
"Miscellaneous","Suragani G,Pothuraju LN,Sandeep Reddi K,Wilfred Godfrey W","","","2019","","","","IEEE","","2019-03-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.9033598&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Modeling the knowledge of the student is very important in online tutoring systems. It helps the instructor to design effective exercises which vary in difficulty level and design curriculum according to the observed knowledge state of students. But modeling the student knowledge has got its own challenges. The model which uses RNNs (Recurrent Neural Networks) which has proved to be effective in modeling the student knowledge but has got its own limitations. We found that there were some features that were very important in predicting the performance of student but were ignored in the original DKT (Deep knowledge Tracing) model [1]. In this paper, we attempt to consider three more features such as No. of hints accessed, Student First Response Time and Number of Attempts when compared to DKT and use the same model as in DKT where the only change is made in the input vector we provide to the model. We also use certain techniques like dimensionality reduction by using autoencoder which helps in reducing the dimensionality as we are taking extra features into consideration.","",""
"Journal Article","Afini Normadhi NB,Shuib L,Md Nasir HN,Bimba A,Idris N,Balakrishnan V","Identification of personal traits in adaptive learning environment: Systematic literature review","Computers & Education","2019","130","","168-190","","","2019-03-01","","0360-1315","","https://search.ebscohost.com/login.aspx?direct=true&db=edselp&AN=S0360131518303026&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","An adaptive learning environment provides personalised information to the learner through self-directed study. An adaptive learning environment model can be subdivided into a learner model, domain model, instructional model and adaptive engine. Personal traits comprise part of the components in a learner model and can be identified either explicitly or implicitly in an adaptive learning environment. In such an environment, the e-learning system should adapt to a learner's needs. However, even though academic research on adaptive learning environments has increased, the field lacks a comprehensive literature analysis of learners' personal traits in these environments. This study conducts a systematic literature review to identify the most commonly used personal traits in modelling the learner and the existing techniques suitable for identifying personal traits in an adaptive learning environment. A total of 140 articles spanning the years 2010–2017 are initially reviewed, from which 78 are selected based on the inclusion and exclusion criteria relevant to this study. This study provides an overview of learners' personal traits and the techniques used to identify them to provide a basis for improving adaptive learning environments. The findings indicate that most of the previous works used a learning style from the cognition learning domain category to model individual personal traits, while the computer-based detection technique was commonly applied to identify a learner's personal traits in adaptive learning environments. This study reveals the common learner characteristics used to develop learner models and the techniques for implementing such models. The findings of this paper can guide other researchers to recognise various personal traits and the identification technique for further studies, as well as assist developers in the development of the adaptive learning system.","Cooperative/collaborative learning, Intelligent tutoring systems, Interactive learning environments, Navigation",""
"Journal Article","Ravichandran P","","International Journal of Learning","2019","5","1","38-42 - 38 - 42","","","2019-03-01","","1447-9540","1447-9494","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85108576616&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","MOOCs, multiple choice question, neural network, psychometric analysis",""
"Journal Article","Aissaoui OE,El Madani YE,Oughdir L,Allioui YE","Combining supervised and unsupervised machine learning algorithms to predict the learners' learning styles","Procedia Computer Science","2019","148","","87-96","","","2019-02","","1877-0509","","https://search.ebscohost.com/login.aspx?direct=true&db=edo&AN=134883537&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Abstract The implementation of an efficient adaptive e-learning system requires the construction of an effective student model that represents the student's characteristics, among those characteristics, there is the learning style that refers to the way in which a student prefers to learn. Knowing learning styles helps adaptive E-learning systems to improve the learning process by providing customized materials to students. In this work, we have proposed an approach to identify the learning style automatically based on the existing learners' behaviors and using web usage mining techniques and machine learning algorithms. The web usage mining techniques were used to pre-process the log file extracted from the E-learning environment and capture the learners' sequences. The captured learners' sequences were given as an input to the K-modes clustering algorithm to group them into 16 learning style combinations based on the Felder and Silverman learning style model. Then the naive Bayes cl)","SUPERVISED learning, COGNITIVE styles, MOBILE learning, MACHINE learning, WEB analytics, LEARNING, adaptive e-learning systems, K-modes clustering algorithm, Learning style model;, machine learning algorithms, Naive Bayes classifier, Web usage mining techniques",""
"Miscellaneous","Phanniphong K,Nuankaew P,Teeraputon D,Nuankaew W,Boontonglek M,Bussaman S","","","2019","","","","IEEE","","2019-01-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.8692263&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Education is the most critical topic globally. As a result, an analysis of educational insights concerned to find patterns and knowledge which is interesting in educational management. Therefore, this paper proposes a new method of clustering the attributes (courses) that support the students' performance, identify the attributes (courses) that effect to each group (cluster) of students' outcomes, and evaluate the model performance. The sample is conducted from 249 students from Phadungnaree School, Maha Sarakham province, Thailand. The results show that there is a variety of cluster in students' performance with importance attributes (courses) of students programs, while the model performance is very significant to the model. In the future work, it will be implemented to the application and program recommendation for secondary school.","",""
"Book","Benmarrakchi F,Ouherrou N,Elhammoumi O,Kafi JE","","","2019","914","","","Springer Verlag","Computer Science Department, Chouaib Doukkali University","2019-01-01","9783030118839","","","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85062240847&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","","Advances in Intelligent Systems and Computing"
"Journal Article","Trifa A,Hedhili A,Chaari WL","Knowledge tracing with an intelligent agent, in an e-learning platform","Education & Information Technologies","2019","24","1","711-741","","","2019-01","","1360-2357","","https://search.ebscohost.com/login.aspx?direct=true&db=eue&AN=133986698&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","E-learning systems have gained nowadays a large student community due to the facility of use and the integration of one-to-one service. Indeed, the personalization of the learning process for every user is needed to increase the student satisfaction and learning efficiency. Nevertheless, the number of students who give up their learning process cannot be neglected. Therefore, it is mandatory to establish an efficient way to assess the level of personalization in such systems. In fact, assessing represents the evolution's key in every personalized application and especially for the e-learning systems. Besides, when the e-learning system can decipher the student personality, the student learning process will be stabilized, and the dropout rate will be decreased. In this context, we propose to evaluate the personalization process in an e-learning platform using an intelligent referential system based on agents. It evaluates any recommendation made by the e-learning platform based on a comparison. We compare the personalized service of the e-learning system and those provided by our referential system. Therefore, our purpose consists in increasing the efficiency of the proposed system to obtain a significant assessment result; precisely, the aim is to improve the outcomes of every algorithm used in each defined agent. This paper deals with the intelligent agent 'Mod-Knowledge' responsible for analyzing the student interaction to trace the student knowledge state. The originality of this agent is that it treats the external and the internal student interactions using machine learning algorithms to obtain a complete view of the student knowledge state. The validation of this contribution is done with experiments showing that the proposed algorithms outperform the existing ones. [ABSTRACT FROM AUTHOR]","Online education, Machine learning, Service learning, Satisfaction, Data mining",""
"Journal Article","Khan FA,Akbar A,Altaf M,Tanoli SA,Ahmad A","","IEEE Access","2019","7","","128242-128262","","","2019-01-01","","2169-3536","","https://search.ebscohost.com/login.aspx?direct=true&db=edsdoj&AN=edsdoj.71c85ced7824e2d8f144a0e5a8ccdc4&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","In traditional learning environments, it is easy for a teacher to get an accurate and deep understanding about how students are learning and undertaking tasks. This results in teacher understanding about each student’s learning preferences and behavior, which exhibits, for instance, students’ learning styles and affective states. On the other hand, identification of learning styles and affective states in web-based learning environments is quite challenging. The existing approaches for the identification of learning styles such as questionnaire is not without limitations. Similarly, affective states identification approaches mentioned in the literature indicate several shortcomings. This paper proposes an automatic approach for the identification of learning styles and affective states in web-based Learning Management Systems (LMSs). The unique feature of this approach is that it is generic in nature. Using this approach, the students learning styles and affective states are calculated automatically from their learning preferences and behavior within a course. Evaluation of this approach was performed by following a study with 81 students. The results of the study were then compared with the learning styles and affective states questionnaires, which demonstrate that the suggested approach is more appropriate for the identification of learning styles and affective states. Therefore, using this approach, a tool (AsLim) has been developed and can be used by the teachers for the identification of learning styles and affective states of their students.","Learning management systems (LMSs), learning styles, affective states, adaptivity, personalization, Electrical engineering. Electronics. Nuclear engineering, TK1-9971",""
"Journal Article","Al-Shabandar R,Hussain AJ,Liatsis P,Keight R","","IEEE Access","2019","7","","149464-149478","","","2019-01-01","","2169-3536","","https://search.ebscohost.com/login.aspx?direct=true&db=edsdoj&AN=edsdoj.756594a3a7e8431a89a18c8e8092a9d0&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Massive Open Online Courses (MOOCs) have shown rapid development in recent years, allowing learners to access high-quality digital material. Because of facilitated learning and the flexibility of the teaching environment, the number of participants is rapidly growing. However, extensive research reports that the high attrition rate and low completion rate are major concerns. In this paper, the early identification of students who are at risk of withdrew and failure is provided. Therefore, two models are constructed namely at-risk student model and learning achievement model. The models have the potential to detect the students who are in danger of failing and withdrawal at the early stage of the online course. The result reveals that all classifiers gain good accuracy across both models, the highest performance yield by GBM with the value of 0.894, 0.952 for first, second model respectively, while RF yield the value of 0.866, in at-risk student framework achieved the lowest accuracy. The proposed frameworks can be used to assist instructors in delivering intensive intervention support to at-risk students.","Machine learning, massive open online courses, receiver operator characteristics, area under curve, Electrical engineering. Electronics. Nuclear engineering, TK1-9971",""
"Journal Article","Khan FA,Akbar A,Altaf M,Tanoli SA,Ahmad A","","IEEE Access, Access, IEEE","2019","7","","128242-128262","","","2019-01-01","","2169-3536","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.8812729&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","In traditional learning environments, it is easy for a teacher to get an accurate and deep understanding about how students are learning and undertaking tasks. This results in teacher understanding about each student’s learning preferences and behavior, which exhibits, for instance, students’ learning styles and affective states. On the other hand, identification of learning styles and affective states in web-based learning environments is quite challenging. The existing approaches for the identification of learning styles such as questionnaire is not without limitations. Similarly, affective states identification approaches mentioned in the literature indicate several shortcomings. This paper proposes an automatic approach for the identification of learning styles and affective states in web-based Learning Management Systems (LMSs). The unique feature of this approach is that it is generic in nature. Using this approach, the students learning styles and affective states are calculated automatically from their learning preferences and behavior within a course. Evaluation of this approach was performed by following a study with 81 students. The results of the study were then compared with the learning styles and affective states questionnaires, which demonstrate that the suggested approach is more appropriate for the identification of learning styles and affective states. Therefore, using this approach, a tool (AsLim) has been developed and can be used by the teachers for the identification of learning styles and affective states of their students.","Aerospace, Bioengineering, Communication, Networking and Broadcast Technologies, Components, Circuits, Devices and Systems, Computing and Processing, Engineered Materials, Dielectrics and Plasmas, Engineering Profession, Fields, Waves and Electromagnetics, General Topics for Engineers, Geoscience, Nuclear Engineering, Photonics and Electrooptics, Power, Energy and Industry Applications, Robotics and Control Systems, Signal Processing and Analysis, Transportation, Hidden Markov models, Adaptation models, Data models, Learning management systems, Task analysis, Adaptive systems, Learning management systems (LMSs), learning styles, affective states, adaptivity, personalization",""
"Journal Article","Al-Shabandar R,Hussain AJ,Liatsis P,Keight R","","IEEE Access, Access, IEEE","2019","7","","149464-149478","","","2019-01-01","","2169-3536","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.8847304&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Massive Open Online Courses (MOOCs) have shown rapid development in recent years, allowing learners to access high-quality digital material. Because of facilitated learning and the flexibility of the teaching environment, the number of participants is rapidly growing. However, extensive research reports that the high attrition rate and low completion rate are major concerns. In this paper, the early identification of students who are at risk of withdrew and failure is provided. Therefore, two models are constructed namely at-risk student model and learning achievement model. The models have the potential to detect the students who are in danger of failing and withdrawal at the early stage of the online course. The result reveals that all classifiers gain good accuracy across both models, the highest performance yield by GBM with the value of 0.894, 0.952 for first, second model respectively, while RF yield the value of 0.866, in at-risk student framework achieved the lowest accuracy. The proposed frameworks can be used to assist instructors in delivering intensive intervention support to at-risk students.","Aerospace, Bioengineering, Communication, Networking and Broadcast Technologies, Components, Circuits, Devices and Systems, Computing and Processing, Engineered Materials, Dielectrics and Plasmas, Engineering Profession, Fields, Waves and Electromagnetics, General Topics for Engineers, Geoscience, Nuclear Engineering, Photonics and Electrooptics, Power, Energy and Industry Applications, Robotics and Control Systems, Signal Processing and Analysis, Transportation, Feature extraction, Hidden Markov models, Education, Machine learning, Predictive models, Neural networks, Videos, massive open online courses, receiver operator characteristics, area under curve",""
"Journal Article","Rajendran R,Iyer S,Murthy S","Personalized Affective Feedback to Address Students’ Frustration in ITS","IEEE Transactions on Learning Technologies","2019","12","1","87-97","","","2019/01/Jan-Mar2019","","1939-1382","","https://search.ebscohost.com/login.aspx?direct=true&db=edb&AN=135918212&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The importance of affective states in learning has led many Intelligent Tutoring Systems (ITS) to include students’ affective states in their learner models. The adaptation and hence the benefits of an ITS can be improved by detecting and responding to students’ affective states. In prior work, we have created and validated a theory-driven model for detecting students’ frustration, as well as identifying its causes as students interact with the ITS. In this paper, we present a strategy to respond to students’ frustration by offering motivational messages that address different causes of frustration. Based on attribution theory, these messages are created to praise the student's effort, attribute the results to the identified cause, show sympathy for failure or obtain feedback from the students. We implemented our approach in three schools where students interacted with the ITS. Data from 188 students from the three schools collected across two weeks was used for our analysis. The resu)","Adaptation models, affective feedback, affective states, Complexity theory, Data models, Games, Intelligent tutoring system, personalized feedback, reasons for frustration., responding to frustration, Sensor systems",""
"Journal Article","Krouska A,Troussas C,Virvou M","A literature review of Social Networking- based Learning Systems using a novel ISO-based framework","Intelligent Decision Technologies","2019","13","1","23-39","","","2019-01","","1872-4981","","https://search.ebscohost.com/login.aspx?direct=true&db=edb&AN=135825511&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","This article introduces a novel ISO-based framework which is adjusted appropriately for evaluating Social Networking-based Learning (SN-Learning) systems and constitutes a literature review on them for the last decade. Using ISO 25010 international standard as a cornerstone, the evaluation is impartial and reliable. Furthermore, it relies on standard characteristics being proper to access the quality of educational software. The review aims at showing the evolution of expert systems in e-learning due to the emergence of social networking and the contribution of its characteristics to the educational process. To this end, the number of forty-one systems, published since 2010, has been chosen. The 65.85% of these systems emerged from qualitative research journals papers, whereas the rest derived from significant international conferences. In addition, the 43.9% of selected systems has been developed using well-known web 2.0 technologies. In this study, the aforementioned ISO model along)","LITERATURE reviews, INSTRUCTIONAL systems, SOCIAL learning, STUDENT-centered learning, SOCIAL networks, WEB 2.0, E-learning, evaluation framework, ISO 25015 quality model, social networks, survey, INTERNATIONAL Organization for Standardization",""
"Journal Article","El Janati S,Maach A,El Ghanami D","","International Journal of Advanced Computer Science and Applications","2019","10","8","275-284 - 275 - 284","","","2019-01-01","","2156-5570","2158-107X","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85072282427&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Adaptive e-learning system, Business intelligence, Content presentation, Data warehouse, E-Learning, Learner model, Learning analytics",""
"Journal Article","Zine O,Derouich A,Talbi A","","International Journal of Advanced Computer Science and Applications","2019","10","11","520-528 - 520 - 528","","","2019-01-01","","2156-5570","2158-107X","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85077232495&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Adaptive educational environments, Felder-Silverman, Learner modeling, Learning style, Personalization",""
"Journal Article","Nuankaew W,Nuankaew P,Teeraputon D,Phanniphong K,Bussaman S","","International Journal of Emerging Technologies in Learning","2019","14","9","34-49 - 34 - 49","","","2019-01-01","","1863-0383","1868-8799","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85070252366&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Data mining in education, Educational model, Learning style, Self-regulated learning strategies, Student model",""
"Journal Article","Nuankaew P","","International Journal of Emerging Technologies in Learning","2019","14","19","117-131 - 117 - 131","","","2019-01-01","","1863-0383","1868-8799","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85074466313&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Educational data mining, Learning model, Student dropout prediction, Student model",""
"Journal Article","Nuankaew W,Nuankaew P","","International Journal of Emerging Technologies in Learning","2019","14","21","205-226 - 205 - 226","","","2019-01-01","","1863-0383","1868-8799","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85078299792&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Data mining in education, Educational recommendation system, Learning analytics model, Student model",""
"Journal Article","The CS,Lee SH,Barawi MH","","International Journal on Advanced Science, Engineering and Information Technology","2019","9","6","1944-1949 - 1944 - 1949","","","2019-01-01","","2460-6952","2088-5334","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85077552312&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Assessment feedback, Fuzzy inference system, Fuzzy logic, Intelligent tutoring system, Student modeling",""
"Journal Article","Lynn Trafton T","Teaching Students to Extend Economic Models Using In-Class Scaffolding Assignments","Journal of Economic Education","2019","50","3","230-241","","","2019-01-01","","0022-0485","","https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1222553&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The author discusses how to teach students to extend economic models using in-class scaffolding assignments, supported by discussions and workshops. Methods include discussions of a model's strengths and weaknesses; small group, in-class assignments that provide steps toward model extension; informal presentations of the work resulting from these assignments; and large group, post-presentation discussions in which students critique and build upon each other's work. Students then draw upon what they have learned to take one final step--to write a paper detailing a model extension. Although student model extensions do not reach a professional level of sophistication, students do extend models beyond what they know of them from textbooks and lectures. In doing so, students begin to create knowledge and to participate in economic discourse.","Teaching Methods; Economics Education; Scaffolding (Teaching Technique); Assignments; Criticism; Workshops; Group Discussion; Research Papers (Students); Consumer Economics; Feedback (Response); Groups; Problem Solving; Mathematical Models; Undergraduate Students",""
"Journal Article","Hidayah I,Adji TB,Setiawan NA,Rahman NA","","International Journal of Innovation and Learning","2018","24","4","419","","","2018-12-22","","1471-8197","","https://search.ebscohost.com/login.aspx?direct=true&db=edsinc&AN=edsinc.A556827346&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","To purchase or authenticate to the full-text of this article, please visit this link: https://www.inderscienceonline.com/doi/10.1504/IJIL.2018.095367 Byline: Indriana Hidayah, Teguh Bharata Adji, Noor Akhmad Setiawan, Norliza Abd Rahman Adaptivity in learning systems depends on accuracy of learner modelling. Specifically, for generating cluster-based instructions, quality of student clustering is critical. Studies on student clustering are abundant; however, a system for clustering metacognitive that considers proper analysis technique of Likert-scaled dataset is unavailable. This article proposes a student clustering method which uses a new Likert scale analysis. It is performed on a dataset collected from 81 students of a vocational high school. The performance was compared to previous methods; enhancement is shown by higher silhouette-index and strong correlation with work readiness score. To evaluate the clustering effectiveness, it is implemented on an e-learning system to generate adaptive instructions. The e-learning system is a supplement for fundamental programming course in the school. The t-test result shows that learning gain of experiment group is significantly higher that of the control group. Therefore, the proposed method is effective in improving students' learning quality.","Computer programming, Vocational education -- Methods, Computer programming -- Study and teaching, Education -- Methods, Education -- Analysis, Education",""
"Miscellaneous","Sethi K,Gupta A,Jaiswal V","","","2018","","","","IEEE","","2018-12-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.8745781&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Educational data mining is a focus of research reformed every growing year. The valuable data retrieved from various mining techniques are applied and implemented according to their own visions and objectives for developing specific technical systems to discover configurations and patterns from educational statistics. The performance evaluation of student model with advantage of behavioural (interactive) features is projected in this study paper and predicts student grade and level. The learner's interactions are directly connected with the category of feature. Few classification algorithms like Artificial Neural Network (ANN) and lib SVM are applied to analyze the impact of these categories on learners' academic performances. Results reflect the vigorous relationship between student's behaviour and his academic accomplishments. It raises the better results were observed with dissimilar classification methods involving interactive features while comparing classification accuracy with the identical data and eliminating such features.","",""
"Journal Article","Tacoma S,Sosnovsky S,Boon P,Jeuring J,Drijvers P","","Digital Experiences in Mathematics Education","2018","4","2-3","139-162","","","2018-12-01","","2199-3246","2199-3254","https://search.ebscohost.com/login.aspx?direct=true&db=edssjs&AN=edssjs.EE0575C3&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Statistics is a challenging subject for many university students. In addition to dedicated methods of didactics of statistics, adaptive educational technologies can also offer a promising approach to target this challenge. Inspectable student models provide students with information about their mastery of the domain, thus triggering reflection and supporting the planning of subsequent study steps. In this article, we investigate the question of whether insights from didactics of statistics can be combined with inspectable student models and examine if the two can reinforce each other. Five inspectable student models were implemented within five didactically grounded online statistics modules, which were offered to 160 Social Sciences students as part of their first-year university statistics course. The student models were evaluated using several methods. Learning curve analysis and predictive validity analysis examined the quality of the student models from the technical point of view, while a questionnaire and a task analysis provided a didactical perspective. The results suggest that students appreciated the overall design, but the learning curve analysis revealed several weaknesses in the implemented domain structure. The task analysis revealed four underlying problems that help to explain these weaknesses. Addressing these problems improved both the predictive validity of the adjusted student models and the quality of the instructional modules themselves. These results provide insight into how inspectable student models and didactics of statistics can augment each other in the design of rich instructional modules for statistics.","Inspectable student model, Open student model, Statistics education, Higher education, Learning curve analysis",""
"Journal Article","Chapelle CA,Schmidgall J,Lopez A,Blood I,Wain J,Cho Y,Hutchinson A,Lee HW,Dursun A","Designing a Prototype Tablet-Based Learning-Oriented Assessment for Middle School English Learners: An Evidence-Centered Design Approach. Research Report. ETS RR-18-46","ETS Research Report Series","2018","","","","","","2018-12-01","","2330-8516","","https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1202815&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The tablet project was undertaken in 2013 to explore the creation of an assessment to reveal English language learners' (ELLs') language capabilities in content area classes such as science. Such assessments could ideally be useful in multiple phases of the instructional process by providing information to learners, teachers, and other stakeholders because the technologies allow for efficiencies of task presentation, response gathering, scoring, storing data, and returning results. With the goal of understanding the development costs required to achieve such benefits, the project used an evidence-centered design (ECD) framework to create a prototype assessment for ELL middle school students. In addition to describing the ECD process, the report describes how the project mandate helped to focus the complex processes of ECD and how the activities of ECD came into play in sketching plans for the validity argument. The ECD process of domain analysis uncovered perspectives on tablet use in middle schools as well as theoretical perspectives for conceptualizing the tablet users' abilities and learning. Findings included a range of uses of mobile technologies in middle school classrooms in 2013, with little uniformity in practices. Based on analysis of common elements in tablet-based communication and learning, a framework for characterizing the relevant strategies and abilities was developed. Findings served in the domain modeling process of defining task design patterns, which in turn provided the basis for planning the conceptual assessment framework (CAF). The CAF also drew upon domain analysis findings, which suggested the concepts required for defining a student model (what is to be inferred about the test taker), an evidence model (the basis for making the inference), and the task model (the features of tasks required for eliciting relevant performance). The assessment implementation process produced a working prototype that served in usability testing and gathering feedback from middle school teachers. The report describes how ECD guides the design of tablet-based formative assessment tasks that take into account the constructs to be measured and the learning that should result from test taking. The evaluation of the project is undertaken in view of the goal of ECD to design test tasks in a manner that serves in the argument for their use. Success is therefore evaluated in part by an analysis of the quality of content it supplied for an interpretation/use argument for the assessment. Overall, the project highlights include (a) the demonstration of how a mandate delimits the ECD processes; (b) the construct framework encompassing both the linguistic and nonlinguistic resources used to create meaning in a digital environment; (c) the approach used for analysis of a domain with emerging, shifting, and variously used technologies; and (d) the use of an interpretation/use argument in the appraisal of an ECD test design.","Middle School Students; English Language Learners; Language Proficiency; Test Construction; Handheld Devices; Telecommunications; Technology Uses in Education; Evidence Based Practice; Computer Oriented Programs; Design, Iowa",""
"Journal Article","Kolchenko V","Can Modern AI Replace Teachers? Not so Fast! Artificial Intelligence and Adaptive Learning: Personalized Education in the AI Age","HAPS Educator","2018","22","3","249-252","","","2018-12-01","","2473-3806","","https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1227770&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Artificial intelligence (AI) is transforming many fields, including education. Can modern AI replace teachers? We discuss some popular AI applications for adaptive learning, how they are related to personalized education, what makes these applications ""intelligent,"" and how the quality and quantity of student-generated data changes the behavior of adaptive learning systems and the learning experiences of students. If the data are scarce and corrupt, the benefits of adaptive learning are minimal. Motivated and persistent students generate greater amounts of high quality data and, as a result, tend to have better learning experiences. This can increase the gap between high achieving and low achieving students. More realistic student models and better understanding of the pedagogical context are needed to improve the performance of the AI educational systems. These are some of the reasons why experienced teachers cannot be replaced by the current AI applications.","Artificial Intelligence; Individualized Instruction; Computer Assisted Instruction; Student Reaction",""
"Journal Article","Poitras EG,Fazeli N,Mayne ZR","Modeling Student Teachers’ Information-Seeking Behaviors While Learning With Network-Based Tutors","Journal of Educational Technology Systems","2018","47","2","227-247","","","2018-12","","0047-2395","","https://search.ebscohost.com/login.aspx?direct=true&db=eue&AN=133201549&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Information seeking and acquisition is fundamental to learning from hypermedia, but student teachers often fail to regulate their own learning. A total of 68 students learned with either a static or a dynamic version of nBrowser, a network-based tutor that adapted recommendations of online resources to support information seeking and acquisition. Results indicated that the student teachers’ ratings for the usefulness of online resources can be predicted with 69% accuracy and 77% accuracy on the entire data set using the fully specified model. The learner model is discussed in designing a recommender system that supports information-seeking behaviors in the context of network-based tutoring systems. [ABSTRACT FROM AUTHOR]","Educational technology, Instructional systems, Student teachers, Active learning, Facilitated learning",""
"Journal Article","Denden M,Tlili A,Essalmi F,Jemni M","","Smart Learning Environments","2018","5","1","","","","2018-11-16","","2196-7091","","https://search.ebscohost.com/login.aspx?direct=true&db=edssjs&AN=edssjs.EB5BEB13&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","While the most used method to model the learner’s personality is the self-report using questionnaires, this study presents and validates a newly developed framework for implicitly modeling the learners’ personalities within a game-based learning environment using their gaming behaviors. This framework is based on an online role-playing game for teaching the computer architecture subject and a learning analytics system. To evaluate the efficiency of the proposed framework, an experiment was conducted with forty four participants (34 learners and 11 teachers) in a Tunisian University. The obtained results showed that this framework has a high accuracy level in correctly modeling both the extraversion and openness personality dimensions. In addition, these results highlighted a “good” and “moderate” agreement degree in modeling the extraversion and openness personality dimensions respectively compared to the Big Five Inventory (BFI). The findings of this study can advance research in game-based learning and educational psychology by developing environments which can be used for both learning and modeling learners’ personalities instead of using questionnaires.","Personality, Learner modeling, Learning analytics, Game-based learning, Gaming behaviors, Data analysis",""
